V,I,P,R,T,mAH,WH,mAh,Wh,Rest_Time,RM_mAh,RM_%,UC,FCC
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,10,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,30,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,50,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,60,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,70,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,80,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,90,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,100,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,110,728.0,7.0,9672.0,10400
41.602,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,120,728.0,7.0,9672.0,10400
39.522,7.46,294.8,5.3,24.0,16.18,0.641,20.722,0.819,0,0,0,10400,10400
39.389,7.46,293.8,5.28,24.0,36.48,1.442,41.444,1.635,0,0,0,10400,10400
39.275,7.45,292.6,5.27,24.0,57.21,2.257,62.139,2.448,0,0,0,10400,10400
39.196,7.45,292.0,5.26,24.0,77.92,3.069,82.833,3.259,0,0,0,10400,10400
39.118,7.45,291.4,5.25,24.0,98.21,3.864,103.528,4.069,0,0,0,10400,10400
39.06,7.45,291.0,5.24,24.0,119.74,4.706,124.222,4.877,0,0,0,10400,10400
